usuario_id,usuario_sexo,usuario_edad,fecha_alta,hora_alta
496001,F,31,12/01/2018,5:53:16
496003,F,40,03/01/2018,5:53:07
496004,F,27,29/01/2018,5:53:33
496005,F,42,04/01/2018,5:53:08
496013,M,66,04/01/2018,5:53:08
496015,F,25,04/01/2018,5:53:08
496016,F,37,04/01/2018,5:53:08
496018,F,38,03/01/2018,5:53:07
496020,M,33,30/01/2018,5:53:34
496021,M,32,04/01/2018,5:53:08
496022,F,31,04/01/2018,5:53:08
496023,M,34,05/01/2018,5:53:09
496024,M,34,03/01/2018,5:53:07
496025,F,27,04/01/2018,5:53:08
496026,F,50,03/01/2018,5:53:07
496028,M,26,03/01/2018,5:53:07
496032,M,27,03/01/2018,5:53:07
496034,F,22,04/01/2018,5:53:08
496035,M,30,04/01/2018,5:53:08
496036,F,27,15/01/2018,5:53:19
616146,M,30,20/09/2018,5:57:27
616147,M,37,20/09/2018,5:57:27
616149,F,48,19/09/2018,5:57:26
616150,M,25,20/09/2018,5:57:27
616151,M,65,19/09/2018,5:57:26
616153,F,33,20/09/2018,5:57:27
616156,M,69,19/09/2018,5:57:26
616159,F,42,20/09/2018,5:57:27
616160,M,27,03/10/2018,5:57:40
616161,F,27,19/09/2018,5:57:26
616163,F,18,19/09/2018,5:57:26
616165,F,36,26/09/2018,5:57:33
616166,F,27,19/09/2018,5:57:26
616167,M,25,19/09/2018,5:57:26
616168,M,43,20/09/2018,5:57:27
616169,M,28,19/09/2018,5:57:26
616170,M,35,19/09/2018,5:57:26
616175,M,24,19/09/2018,5:57:26
616177,M,42,20/09/2018,5:57:27
616178,F,26,19/09/2018,5:57:26
616183,F,30,20/09/2018,5:57:27
616184,M,43,26/09/2018,5:57:33
616186,F,24,19/09/2018,5:57:26
616187,M,38,01/10/2018,5:57:38
616843,M,30,20/09/2018,5:57:27
616844,F,24,20/09/2018,5:57:27
616847,M,44,27/09/2018,5:57:34
616848,M,43,21/09/2018,5:57:28
616849,F,20,20/09/2018,5:57:27
616851,M,40,20/09/2018,5:57:27
616852,F,28,20/09/2018,5:57:27
616863,M,39,28/09/2018,5:57:35
616864,F,24,20/09/2018,5:57:27
616865,M,51,28/09/2018,5:57:35
616866,M,19,24/09/2018,5:57:31
616868,F,26,20/09/2018,5:57:27
616869,F,42,22/09/2018,5:57:29
616870,M,22,18/10/2018,5:57:55
616872,M,52,22/09/2018,5:57:29
616873,M,34,23/09/2018,5:57:30
616875,M,21,20/09/2018,5:57:27
616876,M,19,24/09/2018,5:57:31
616879,M,33,14/10/2018,5:57:51
616880,F,26,20/09/2018,5:57:27
616881,F,22,22/09/2018,5:57:29
616884,M,23,22/09/2018,5:57:29
616885,M,27,20/09/2018,5:57:27
558546,F,30,01/06/2018,5:55:36
558547,M,18,15/06/2018,5:55:50
558548,M,28,09/06/2018,5:55:44
558549,F,22,05/07/2018,5:56:10
558554,M,26,01/06/2018,5:55:36
558555,F,55,01/06/2018,5:55:36
558556,F,32,01/06/2018,5:55:36
558557,M,21,01/06/2018,5:55:36
558559,M,25,01/06/2018,5:55:36
558563,F,25,01/06/2018,5:55:36
558564,F,71,01/06/2018,5:55:36
558567,F,37,01/06/2018,5:55:36
558569,M,32,01/06/2018,5:55:36
558570,M,19,01/06/2018,5:55:36
558573,M,35,01/06/2018,5:55:36
558577,F,45,01/06/2018,5:55:36
558578,M,22,01/06/2018,5:55:36
558579,M,23,01/06/2018,5:55:36
558580,M,48,01/06/2018,5:55:36
558583,M,52,01/06/2018,5:55:36
558584,M,23,01/06/2018,5:55:36
558586,F,34,11/09/2018,5:57:18
558587,F,25,02/06/2018,5:55:37
558588,F,25,01/06/2018,5:55:36
558591,M,32,01/06/2018,5:55:36
558592,F,22,01/06/2018,5:55:36
558593,F,36,02/06/2018,5:55:37
558600,F,44,01/06/2018,5:55:36
558601,F,24,02/06/2018,5:55:37
612841,M,26,17/09/2018,5:57:24
612844,M,39,23/09/2018,5:57:30
612845,F,42,17/09/2018,5:57:24
612848,M,44,14/09/2018,5:57:21
612849,M,57,14/09/2018,5:57:21
612851,F,23,13/09/2018,5:57:20
612854,M,36,13/09/2018,5:57:20
612858,F,49,13/09/2018,5:57:20
612860,F,25,16/09/2018,5:57:23
612870,F,44,13/09/2018,5:57:20
612872,F,47,13/09/2018,5:57:20
612875,M,39,15/09/2018,5:57:22
612884,F,30,14/09/2018,5:57:21
613531,M,20,28/09/2018,5:57:35
613535,M,21,14/09/2018,5:57:21
613536,F,20,14/09/2018,5:57:21
613537,M,24,15/09/2018,5:57:22
613539,M,22,14/09/2018,5:57:21
613541,M,19,14/09/2018,5:57:21
613546,M,21,18/09/2018,5:57:25
613552,M,41,18/09/2018,5:57:25
613553,M,20,15/09/2018,5:57:22
613554,M,44,15/09/2018,5:57:22
613557,F,30,15/09/2018,5:57:22
613560,M,30,15/09/2018,5:57:22
613564,M,21,18/09/2018,5:57:25
613565,F,21,21/09/2018,5:57:28
613568,F,20,15/09/2018,5:57:22
613573,M,25,15/09/2018,5:57:22
490950,F,42,05/01/2018,5:53:09
490952,M,40,05/01/2018,5:53:09
490958,F,42,05/01/2018,5:53:09
490960,M,28,06/01/2018,5:53:10
490971,F,28,21/06/2018,5:55:56
490972,M,27,18/05/2018,5:55:22
490977,F,34,06/01/2018,5:53:10
490982,F,19,14/09/2018,5:57:21
490985,F,35,05/01/2018,5:53:09
491716,M,47,02/01/2018,5:53:06
491718,M,41,02/01/2018,5:53:06
491720,M,50,15/07/2018,5:56:20
491721,F,47,02/01/2018,5:53:06
491732,M,44,02/01/2018,5:53:06
491736,F,63,08/01/2018,5:53:12
491755,M,62,03/01/2018,5:53:07
491756,F,27,08/01/2018,5:53:12
491762,M,25,08/01/2018,5:53:12
492550,M,34,01/01/2018,5:53:05
492555,M,29,13/04/2018,5:54:47
492557,F,38,04/01/2018,5:53:08
492558,M,52,04/01/2018,5:53:08
492559,M,33,01/01/2018,5:53:05
492561,F,23,01/01/2018,5:53:05
492570,F,18,10/01/2018,5:53:14
492573,M,31,02/02/2018,5:53:37
492575,M,27,25/01/2018,5:53:29
492578,M,40,01/01/2018,5:53:05
492584,F,31,01/04/2018,5:54:35
492592,F,17,13/03/2018,5:54:16
340863,F,20,18/04/2018,5:54:52
340889,M,32,12/11/2018,5:58:20
614670,M,45,18/09/2018,5:57:25
614671,F,52,16/09/2018,5:57:23
614674,M,48,16/09/2018,5:57:23
614679,M,30,29/10/2018,5:58:06
614680,M,56,18/09/2018,5:57:25
614681,M,41,17/09/2018,5:57:24
614683,F,32,17/09/2018,5:57:24
614686,M,35,01/10/2018,5:57:38
614687,F,18,17/09/2018,5:57:24
614688,F,21,18/09/2018,5:57:25
614689,M,32,16/09/2018,5:57:23
614690,M,27,18/09/2018,5:57:25
614691,F,22,28/09/2018,5:57:35
614693,M,45,07/10/2018,5:57:44
614696,M,42,17/09/2018,5:57:24
614699,F,45,18/09/2018,5:57:25
614701,F,25,25/09/2018,5:57:32
614707,M,29,17/09/2018,5:57:24
614712,F,29,17/09/2018,5:57:24
615357,M,29,26/09/2018,5:57:33
615359,M,25,26/09/2018,5:57:33
615360,F,32,18/09/2018,5:57:25
615361,F,48,18/09/2018,5:57:25
615363,M,33,18/09/2018,5:57:25
615364,F,33,18/09/2018,5:57:25
615365,F,60,18/09/2018,5:57:25
615367,M,27,18/09/2018,5:57:25
